Run,Age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Genotype,Group,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Strain,Tissue
SRR17266735,postnatal 21 days,RNA-Seq,150,240884250,PRJNA789927,SAMN24174838,99009343,STANFORD UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13444829,wild type,PN21,NextSeq 500,GSM5740685,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-12-06T00:00:00Z,GSM5740685,Lung,SRP351417,C57BL/6,lung
SRR17266736,postnatal 21 days,RNA-Seq,150,224334900,PRJNA789927,SAMN24174839,93355929,STANFORD UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13444828,wild type,PN21,NextSeq 500,GSM5740684,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-12-06T00:00:00Z,GSM5740684,Lung,SRP351417,C57BL/6,lung
SRR17266743,postnatal 21 days,RNA-Seq,150,151245450,PRJNA789927,SAMN24174846,61602327,STANFORD UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13444821,wild type,PN21,NextSeq 500,GSM5740677,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-12-06T00:00:00Z,GSM5740677,Lung,SRP351417,C57BL/6,lung
SRR17266756,postnatal 21 days,RNA-Seq,150,124772850,PRJNA789927,SAMN24174887,50871660,STANFORD UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13444808,wild type,PN21,NextSeq 500,GSM5740636,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-12-06T00:00:00Z,GSM5740636,Lung,SRP351417,C57BL/6,lung
SRR17266761,postnatal 21 days,RNA-Seq,150,140358450,PRJNA789927,SAMN24174892,57832644,STANFORD UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13444803,wild type,PN21,NextSeq 500,GSM5740631,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-12-06T00:00:00Z,GSM5740631,Lung,SRP351417,C57BL/6,lung
SRR17266766,postnatal 21 days,RNA-Seq,150,188028600,PRJNA789927,SAMN24174897,77246382,STANFORD UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13444798,wild type,PN21,NextSeq 500,GSM5740626,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-12-06T00:00:00Z,GSM5740626,Lung,SRP351417,C57BL/6,lung
SRR17266779,postnatal 21 days,RNA-Seq,150,191967150,PRJNA789927,SAMN24174938,77874699,STANFORD UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13444785,wild type,PN21,NextSeq 500,GSM5740585,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-12-06T00:00:00Z,GSM5740585,Lung,SRP351417,C57BL/6,lung
SRR17266791,postnatal 21 days,RNA-Seq,150,204635250,PRJNA789927,SAMN24174950,84365960,STANFORD UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13444773,wild type,PN21,NextSeq 500,GSM5740573,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-12-06T00:00:00Z,GSM5740573,Lung,SRP351417,C57BL/6,lung
SRR17266794,postnatal 21 days,RNA-Seq,150,230533050,PRJNA789927,SAMN24174953,95464803,STANFORD UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13444770,wild type,PN21,NextSeq 500,GSM5740570,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-12-06T00:00:00Z,GSM5740570,Lung,SRP351417,C57BL/6,lung
SRR17266797,postnatal 21 days,RNA-Seq,150,207060000,PRJNA789927,SAMN24174956,86133724,STANFORD UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13444767,wild type,PN21,NextSeq 500,GSM5740567,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-12-06T00:00:00Z,GSM5740567,Lung,SRP351417,C57BL/6,lung
